frequency,raw,target
1887.55,-1.50,75.09
1906.42,-1.71,75.08
1925.49,-1.95,75.07
1944.74,-2.23,75.06
1964.19,-2.59,75.04
1983.83,-2.84,75.03
2003.67,-2.95,75.02
2023.71,-2.69,75.01
2043.94,-2.30,74.99
2064.38,-1.84,74.98
2085.03,-1.54,74.97
2105.88,-1.38,74.96
2126.94,-1.31,74.95
2148.20,-1.34,74.93
2169.69,-1.42,74.92
2191.38,-1.47,74.91
2213.30,-1.43,74.90
2235.43,-1.20,74.89
2257.78,-0.90,74.87
2280.36,-0.55,74.86
2303.17,-0.41,74.85
2326.20,-0.45,74.84
2349.46,-0.65,74.83
2372.95,-0.85,74.82
2396.68,-0.96,74.81
2420.65,-1.00,74.79
2444.86,-0.96,74.78
2469.31,-0.90,74.77
2494.00,-0.83,74.76
2518.94,-0.70,74.75
2544.13,-0.47,74.74
2569.57,-0.28,74.73
2595.27,-0.18,74.71
2621.22,-0.20,74.70
2647.43,-0.29,74.69
2673.90,-0.44,74.68
2700.64,-0.61,74.67
2727.65,-0.75,74.66
2754.93,-0.86,74.65
2782.48,-0.82,74.63
2810.30,-0.73,74.62
2838.40,-0.63,74.61
2866.79,-0.58,74.60
2895.46,-0.72,74.59
2924.41,-0.94,74.57
2953.65,-1.24,74.56
2983.19,-1.49,74.55
3013.02,-1.73,74.54
3043.15,-1.95,74.52
3073.58,-2.16,74.51
3104.32,-2.32,74.50
3135.36,-2.42,74.48
3166.72,-2.35,74.47
3198.38,-2.33,74.46
3230.37,-2.39,74.44
3262.67,-2.61,74.43
3295.30,-2.82,74.42
3328.25,-2.98,74.40
3361.53,-3.01,74.39
3395.15,-2.89,74.37
3429.10,-2.69,74.36
3463.39,-2.42,74.35
3498.03,-2.01,74.33
3533.01,-1.58,74.32
3568.34,-1.14,74.30
3604.02,-0.92,74.29
3640.06,-0.81,74.27
3676.46,-0.79,74.26
3713.22,-0.91,74.24
3750.36,-1.09,74.22
3787.86,-1.30,74.21
3825.74,-1.50,74.19
3864.00,-1.57,74.18
3902.64,-1.60,74.16
3941.66,-1.62,74.15
3981.08,-1.84,74.13
4020.89,-2.13,74.11
4061.10,-2.46,74.10
4101.71,-2.50,74.08
4142.73,-2.44,74.07
4184.15,-2.32,74.05
4226.00,-2.48,74.04
4268.26,-2.76,74.02
4310.94,-3.14,74.00
4354.05,-3.47,73.99
4397.59,-3.63,73.97
4441.56,-3.66,73.96
4485.98,-3.50,73.94
4530.84,-3.19,73.93
4576.15,-2.84,73.91
4621.91,-2.50,73.90
4668.13,-2.47,73.88
4714.81,-2.60,73.86
4761.96,-2.91,73.85
4809.58,-3.31,73.83
4857.67,-3.66,73.82
4906.25,-3.93,73.81
4955.31,-4.07,73.79
5004.87,-4.10,73.78
5054.91,-4.04,73.76
5105.46,-3.92,73.75
5156.52,-3.85,73.73
5208.08,-3.83,73.72
5260.16,-3.85,73.71
5312.77,-3.85,73.69
5365.89,-3.88,73.68
5419.55,-3.97,73.67
5473.75,-4.20,73.65
5528.49,-4.46,73.64
5583.77,-4.75,73.63
5639.61,-4.99,73.61
5696.00,-5.25,73.60
5752.96,-5.53,73.59
